"ID_Contact","Name_First","Name_Last","Anrede","Titel","Department","Position","Anrede_lang","id_account","Primary_Street1","Primary_Street2","Primary_Postal_Code","Primary_City","Primary_Country","Primary_State","Telefon1","Telefon2","Mobil-Telefon","Fax","Email","Status","W_K","W_WF","W_FP","contact_infor","Person"
"MOCK11","Martin","Schröder","Herr","","Vertrieb","Vertriebsleiter","Sehr geehrter Herr Schröder,","MOCK11","Vertriebsweg 45","","28219","Bremen","","","+49 (421) 999000-0","","+49 (160) 12345678","+49 (421) 999000-77","m.schroeder@mock-pharma-solutions.de","Aktiv","","","","","","1"
"MOCK12","Nina","Neumann","Frau","","Logistik","Logistikleiterin","Sehr geehrte Frau Neumann,","MOCK12","Logistikstraße 67","","70563","Stuttgart","","","+49 (711) 333444-0","","+49 (160) 23456789","+49 (711) 333444-88","n.neumann@test-medical.de","Aktiv","","","","","","1"
"MOCK13","Stefan","Richter","Herr","","Marketing","Marketingleiter","Sehr geehrter Herr Richter,","MOCK13","Marketingallee 89","","70180","Stuttgart","","","+49 (711) 555666-0","","+49 (160) 34567890","+49 (711) 555666-99","s.richter@sample-healthcare.de","Aktiv","","","","","","1"
"MOCK14","Monika","Krause","Frau","","Qualitätssicherung","QS-Leiterin","Sehr geehrte Frau Krause,","MOCK14","Qualitätsstraße 12","","28221","Bremen","","","+49 (421) 777999-0","","+49 (160) 45678901","+49 (421) 777999-11","m.krause@demo-pharma.de","Aktiv","","","","","","1"
"MOCK15","Frank","Werner","Herr","","Forschung","Forschungsleiter","Sehr geehrter Herr Werner,","MOCK15","Forschungsweg 34","","70561","Stuttgart","","","+49 (711) 888111-0","","+49 (160) 56789012","+49 (711) 888111-22","f.werner@example-medical.de","Aktiv","","","","","","1"
"MOCK16","Sandra","Meyer","Frau","","Produktion","Produktionsleiterin","Sehr geehrte Frau Meyer,","MOCK16","Produktionsallee 56","","70182","Stuttgart","","","+49 (711) 222444-0","","+49 (160) 67890123","+49 (711) 222444-33","s.meyer@mock-healthcare.de","Aktiv","","","","","","1"
"MOCK17","Klaus","Lange","Herr","","Vertrieb","Vertriebsleiter","Sehr geehrter Herr Lange,","MOCK17","Vertriebsstraße 78","","28223","Bremen","","","+49 (421) 666888-0","","+49 (160) 78901234","+49 (421) 666888-44","k.lange@test-pharma.de","Aktiv","","","","","","1"
"MOCK18","Petra","Koch","Frau","","Logistik","Logistikleiterin","Sehr geehrte Frau Koch,","MOCK18","Logistikallee 90","","70559","Stuttgart","","","+49 (711) 999111-0","","+49 (160) 89012345","+49 (711) 999111-55","p.koch@sample-medical.de","Aktiv","","","","","","1"
"MOCK19","Dieter","Schäfer","Herr","","Marketing","Marketingleiter","Sehr geehrter Herr Schäfer,","MOCK19","Marketingweg 12","","70184","Stuttgart","","","+49 (711) 333555-0","","+49 (160) 90123456","+49 (711) 333555-66","d.schaefer@demo-healthcare.de","Aktiv","","","","","","1"
"MOCK20","Brigitte","Müller","Frau","","Qualitätssicherung","QS-Leiterin","Sehr geehrte Frau Müller,","MOCK20","Qualitätsallee 34","","28225","Bremen","","","+49 (421) 777000-0","","+49 (160) 01234567","+49 (421) 777000-88","b.mueller@example-pharma-solutions.de","Aktiv","","","","","","1"
"MOCK21","","Einkaufsabteilung","","","Einkauf","","Sehr geehrte Damen und Herren,","MOCK1","Musterstraße 123","","70174","Stuttgart","","","+49 (711) 123456-10","","","+49 (711) 123456-99","einkauf@mock-pharma.de","Aktiv","","","","","","0"
"MOCK22","","Marketingabteilung","","","Marketing","","Sehr geehrte Damen und Herren,","MOCK2","Industrieweg 45","","28199","Bremen","","","+49 (421) 987654-20","","","+49 (421) 987654-50","marketing@test-arzneimittel.de","Aktiv","","","","","","0" 
